Type,GitBook Path,Cookbook Path,Status
missing_in_cookbook,tutorials/evaluation/calibrate-the-evals/tutorials_by_task/calibrating_eval.md,,
missing_in_cookbook,tutorials/evaluation/calibrate-the-evals/tutorials_by_task/rag_chatbot_evals.md,,
missing_in_cookbook,tutorials/evaluation/dataset.md,,
missing_in_cookbook,tutorials/evaluation/dataset/expected-output-responses-design.md,,
missing_in_cookbook,tutorials/evaluation/evals-lifecycle.md,,
missing_in_cookbook,tutorials/evaluation/evaluate-helper-function.md,,
missing_in_cookbook,tutorials/evaluation/evaluate-suites.md,,
missing_in_cookbook,tutorials/evaluation/evaluation-fundamentals.md,,
missing_in_cookbook,tutorials/evaluation/evaluator-scorer/agentevaluator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/classicalretrievalevaluator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/composite-evaluator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/create-custom-evaluator-scorer.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/custom-evaluator-scorer-tutorial.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/gevalgenerationevaluator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/lmbasedretrievalevaluator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/metrics-aggregator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/querytransformerevaluator.md,,
missing_in_cookbook,tutorials/evaluation/evaluator/summarizationevaluator.md,,
missing_in_cookbook,tutorials/evaluation/experiment-tracker.md,,
missing_in_cookbook,tutorials/evaluation/getting-started.md,,
missing_in_cookbook,tutorials/evaluation/llmtestcase.md,,
missing_in_cookbook,tutorials/evaluation/metric/custom-metric.md,,
missing_in_cookbook,tutorials/evaluation/metric/generation-metrics.md,,
missing_in_cookbook,tutorials/evaluation/metric/modify-metrics.md,,
missing_in_cookbook,tutorials/evaluation/metric/retrieval-metrics.md,,
missing_in_cookbook,tutorials/evaluation/metric/safety-metrics.md,,
missing_in_cookbook,tutorials/evaluation/metric/tool_use-metrics.md,,
missing_in_cookbook,tutorials/evaluation/migration-guide/gllm-evals-0.0-to-0.1.md,,
missing_in_cookbook,tutorials/evaluation/migration-guide/gllm-evals-0.0.47-greater-than-0.1.8.md,,
missing_in_cookbook,tutorials/evaluation/run-aggregators.md,,
